day,hhi
2019-02-14,1349.1111285143706
2019-02-15,1358.51459768754
2019-02-18,1334.484102044937
2019-02-19,1339.9176555283232
2019-02-21,1344.054696789536
2019-02-22,1335.8088645892815
2019-02-23,1379.84693877551
2019-02-24,1380.7397959183677
2019-02-26,1290.8730531056485
2019-02-27,1292.3486569034385
2019-02-28,1226.0317750182617
2019-03-01,1261.6756089263665
2019-03-02,1288.256880239214
2019-03-03,1258.0588570676725
2019-03-04,1340.4960216742913
2019-03-06,1331.122097753301
2019-03-07,1299.9062999851715
2019-03-08,1214.143691189321
2019-03-09,1245.4712557941286
2019-03-10,1222.6080200075266
2019-03-11,1219.0530831686806
2019-03-12,1258.5508777224488
2019-03-13,1254.7372207448516
2019-03-14,1338.5740133991878
2019-03-16,1355.685131195335
